"ID";"AN_IDC";"AN_EDC";"SG_IDC";"SG_EDC";"ME_IDC";"ME_EDC";"subject"
"AC27S";3;2;3;2;1;1;"1_1_013"
"AI20S";3;2;4;4;1;1;"2_1_018"
"CH22W";3;2;3;3;1;1;"1_1_008"
"CK28W";2;1;5;4;2;1;"2_1_001"
"CT19S";2;1;4;4;1;1;"2_1_031"
"CW07W";2;1;2;1;1;1;"1_1_005"
"DF08W";2;1;2;3;2;1;"1_1_023"
"DJ06W";4;3;4;4;1;1;"1_1_030"
"EG29J";3;2;4;3;1;1;"1_1_020"
"FP13K";2;2;3;3;1;1;"2_1_006"
"GE04W";4;3;3;2;2;1;"1_1_025"
"GT22Z";5;5;4;2;1;1;"1_1_028"
"HE01S";2;2;5;4;1;1;"1_1_012"
"HE13W";2;1;5;4;1;1;"2_1_016"
"HG26J";2;2;2;2;1;1;"1_1_032"
"IF03S";1;1;3;2;2;1;"2_1_010"
"IW05W";3;2;4;3;1;1;"2_1_021"
"JG17L";3;3;4;4;1;1;"2_1_014"
"JR27W";4;3;3;3;1;1;"1_1_026"
"MA10W";3;3;4;5;1;1;"2_1_002"
"MG16W";4;3;5;4;1;1;"1_1_007"
"MJ01W";4;3;5;4;1;1;"2_1_033"
"PB16S";3;2;4;2;2;1;"2_1_034"
"SA02S";3;2;4;3;2;1;"1_1_009"
"SA04W";4;3;4;3;1;2;"2_1_027"
"SC25W";4;3;5;4;2;1;"2_1_029"
"SF24F";4;3;5;4;2;1;"2_1_024"
"SM10Z";4;3;4;4;1;1;"1_1_011"
"UJ02Z";4;2;4;3;2;1;"2_1_022"
"UU17K";3;2;3;2;1;1;"2_1_019"
